,vix,spx
1990-03-01,21.9,1832.0
1990-03-02,21.34,1860.0
1990-03-05,22.03,1874.0
1990-03-06,20.55,1872.0
1990-03-07,19.1,1880.0
1990-03-08,19.74,1917.0
1990-03-09,20.3,1921.0
1990-03-12,20.07,1912.0
1990-03-13,21.05,1924.0
1990-03-14,19.65,1946.0
1990-03-15,18.81,1964.0
1990-03-16,17.62,1958.0
1990-03-19,18.29,1936.0
1990-03-20,19.06,1925.0
1990-03-21,20.1,1938.0
1990-03-22,22.74,1914.0
1990-03-23,20.46,1937.0
1990-03-26,19.59,1964.0
1990-03-27,21.01,1946.0
1990-03-28,19.77,1939.0
1990-03-29,18.46,1947.0
1990-03-30,19.73,1972.0
1990-04-02,22.84,1947.0
1990-04-03,20.44,1985.0
1990-04-04,22.03,2001.0
1990-04-05,21.21,2028.0
1990-04-06,21.76,2070.0
1990-04-09,22.3,2083.0
1990-04-10,21.69,2075.0
1990-04-11,17.73,2103.0
1990-04-12,19.8,2117.0
1990-04-17,20.38,2126.0
1990-04-18,22.67,2098.0
1990-04-19,22.46,2097.0
1990-04-20,23.33,2129.0
1990-04-23,24.16,2090.0
1990-04-24,21.7,2101.0
1990-04-25,20.86,2092.0
1990-04-26,20.25,2072.0
1990-04-27,22.19,2066.0
1990-04-30,19.52,2046.0
1990-05-02,19.32,2066.0
1990-05-03,17.81,2099.0
1990-05-04,17.28,2099.0
1990-05-07,17.65,2120.0
1990-05-09,18.64,2103.0
1990-05-10,18.59,2104.0
1990-05-11,19.81,2092.0
1990-05-14,20.14,2090.0
1990-05-15,19.49,2070.0
1990-05-16,17.71,2071.0
1990-05-17,17.27,2104.0
1990-05-18,17.2,2100.0
1990-05-21,16.72,2092.0
1990-05-22,17.84,2115.0
1990-05-23,17.18,2123.0
1990-05-25,17.32,2112.0
1990-05-29,18.75,2123.0
1990-05-30,17.44,2121.0
1990-05-31,17.37,2107.0
1990-06-01,17.09,2087.0
1990-06-05,18.97,2069.0
1990-06-06,17.42,2045.0
1990-06-07,16.88,2045.0
1990-06-08,17.58,2021.0
1990-06-11,16.34,2001.0
1990-06-12,16.6,2006.0
1990-06-13,17.38,2026.0
1990-06-14,17.4,2028.0
1990-06-15,15.9,2012.0
1990-06-18,17.71,1988.0
1990-06-19,15.23,2000.0
1990-06-20,15.27,2004.0
1990-06-21,14.72,2008.0
1990-06-22,19.36,2032.0
1990-06-25,17.06,2040.0
1990-06-26,16.29,2053.0
1990-06-27,16.0,2034.0
1990-06-28,16.18,2038.0
1990-06-29,15.5,2035.0
1990-07-02,16.26,2035.0
1990-07-03,16.11,2031.0
1990-07-05,17.25,2000.0
1990-07-06,16.41,2002.0
1990-07-09,16.66,2002.0
1990-07-10,16.92,1963.0
1990-07-11,16.68,1970.0
1990-07-12,17.06,1975.0
1990-07-13,17.09,1998.0
1990-07-16,16.75,2015.0
1990-07-17,16.66,2019.0
1990-07-18,18.9,2029.0
1990-07-19,18.56,2023.0
1990-07-20,15.63,2031.0
1990-07-23,23.68,1990.0
1990-07-24,21.79,1995.0
1990-07-25,20.19,1998.0
1990-07-26,20.26,1984.0
1990-07-27,21.12,1965.0
1990-07-30,21.16,1955.0
1990-07-31,21.11,1965.0
1990-08-01,21.64,1960.0
1990-08-02,20.43,1916.0
1990-08-03,28.74,1869.0
1990-08-06,35.91,1774.0
1990-08-07,32.75,1812.0
1990-08-08,28.27,1757.0
1990-08-09,24.39,1780.0
1990-08-10,25.75,1778.0
1990-08-13,25.74,1721.0
1990-08-14,24.18,1712.0
1990-08-16,27.16,1723.0
1990-08-17,27.53,1665.0
1990-08-20,26.46,1611.0
1990-08-21,28.9,1546.0
1990-08-22,30.55,1586.0
1990-08-23,36.47,1553.0
1990-08-24,33.93,1617.0
1990-08-27,29.63,1700.0
1990-08-28,29.12,1680.0
1990-08-29,27.38,1698.0
1990-08-30,29.89,1723.0
1990-08-31,29.9,1690.0
1990-09-04,29.58,1621.0
1990-09-05,28.52,1638.0
1990-09-06,30.19,1609.0
1990-09-07,28.73,1619.0
1990-09-10,29.34,1662.0
1990-09-11,28.38,1654.0
1990-09-12,28.12,1648.0
1990-09-13,29.33,1646.0
1990-09-14,30.56,1615.0
1990-09-17,29.55,1604.0
1990-09-18,28.82,1580.0
1990-09-19,27.88,1570.0
1990-09-20,28.66,1540.0
